발생일,발생시간,발생지_시도,발생지_시군구,요일,사고내용,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,가해자성별,가해자연령,가해당사자종별,가해자신체상해정도,피해자성별,피해자연령,피해당사자종별,피해자신체상해정도,가해차량용도_대분류,가해차량용도_중분류,가해차량용도,피해차량용도_대분류,피해차량용도_중분류,피해차량용도,도로종류,도로형태_대분류,도로형태,기상상태,노면상태_대분류,노면상태,사망자수,중상자수,경상자수,부상신고자수
20170202,23시,경기,용인시,목,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,61-64세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170202,23시,인천,미추홀구,목,경상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,41-50세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170203,03시,충북,청주시,금,중상,차대차,측면충돌,측면충돌,기타,남,51-60세,화물차,중상,여,51-60세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,3,1,0
20170203,15시,강원,동해시,금,경상,차대차,정면충돌,정면충돌,기타,남,51-60세,화물차,상해없음,여,41-50세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170203,16시,경기,시흥시,금,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,61-64세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,사업용,택시,개인택시,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,4,0
20170203,16시,경기,용인시,금,경상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,화물차,상해없음,여,41-50세,승용차,경상,사업용,화물차,화물차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170203,22시,경기,성남시,금,경상,차대차,기타,기타,안전거리 미확보,남,31-40세,승용차,상해없음,여,21-30세,승용차,부상신고,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,1
20170203,22시,충북,보은군,금,사망,차대차,기타,기타,안전운전 의무 불이행,남,41-50세,승합차,상해없음,여,31-40세,승용차,사망,비사업용,기타/건설기계,기타/건설기계,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,1,1,0,0
20170204,01시,경기,구리시,토,경상,차량단독,기타,기타,기타,남,41-50세,승용차,경상,없음,불명,없음,없음,비사업용,승용차,승용차,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170204,01시,경기,시흥시,토,경상,차대차,측면충돌,측면충돌,기타,남,41-50세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170204,04시,인천,서구,토,중상,차대차,기타,기타,과속,남,21-30세,승용차,상해없음,남,51-60세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,2,1
20170204,06시,대구,달성군,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,중상,남,41-50세,특수차,상해없음,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,0,0
20170204,07시,경기,성남시,토,경상,차대차,기타,기타,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170204,15시,경기,성남시,토,경상,차대사람,기타,기타,안전운전 의무 불이행,남,51-60세,특수차,상해없음,여,51-60세,보행자,경상,사업용,덤프트럭,덤프트럭,보행자,보행자,보행자,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170204,17시,경기,평택시,토,중상,차대차,기타,기타,안전거리 미확보,남,65세이상,승용차,상해없음,여,31-40세,승용차,기타불명,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,0
20170204,18시,인천,미추홀구,토,중상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,화물차,상해없음,남,41-50세,특수차,경상,비사업용,화물차,화물차,사업용,덤프트럭,덤프트럭,고속국도,단일로,교량위,맑음,포장,건조,0,1,1,0
20170204,19시,대구,북구,토,부상신고,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,65세이상,이륜차,부상신고,비사업용,승용차,승용차,이륜차,이륜차,이륜차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,0,1
20170204,21시,경기,화성시,토,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,51-60세,화물차,상해없음,여,51-60세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170204,21시,서울,금천구,토,중상,차대차,기타,기타,기타,남,51-60세,승용차,상해없음,남,41-50세,승용차,상해없음,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170205,04시,인천,부평구,일,부상신고,차대차,기타,기타,안전거리 미확보,남,21-30세,승용차,상해없음,남,31-40세,승용차,부상신고,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,교량위,맑음,포장,건조,0,0,0,4
20170205,09시,충남,천안시,일,경상,차대차,기타,기타,안전운전 의무 불이행,남,65세이상,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,기타,기타,흐림,포장,건조,0,0,2,0
20170205,15시,충남,천안시,일,중상,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,없음,불명,없음,없음,비사업용,승용차,승용차,없음,없음,없음,고속국도,단일로,기타단일로,비,포장,젖음/습기,0,1,0,0
20170205,21시,경기,성남시,일,중상,차량단독,기타,기타,안전운전 의무 불이행,남,41-50세,승용차,상해없음,없음,불명,없음,없음,비사업용,승용차,승용차,없음,없음,없음,고속국도,단일로,기타단일로,흐림,포장,젖음/습기,0,2,0,0
20170206,00시,경기,시흥시,월,중상,차대차,후진중충돌,후진중충돌,과속,여,41-50세,승용차,경상,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,2,0
20170206,04시,경북,김천시,월,경상,차대차,기타,기타,안전운전 의무 불이행,남,21-30세,승용차,기타불명,남,41-50세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170206,07시,경남,진주시,월,경상,차대차,기타,기타,안전운전 의무 불이행,기타불명,불명,불명,기타불명,여,31-40세,승용차,경상,불명,불명,불명,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170206,08시,부산,강서구,월,중상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,41-50세,화물차,상해없음,남,31-40세,승용차,중상,사업용,화물차,화물차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170206,11시,경기,고양시,월,경상,차대차,기타,기타,기타,남,31-40세,화물차,상해없음,여,65세이상,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170206,11시,경남,진주시,월,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,화물차,상해없음,남,41-50세,화물차,중상,사업용,화물차,화물차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170206,13시,경남,밀양시,월,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,화물차,상해없음,여,51-60세,승합차,중상,사업용,화물차,화물차,비사업용,버스,버스,고속국도,단일로,기타단일로,맑음,포장,건조,0,3,0,0
20170207,07시,경남,양산시,화,경상,차대차,추돌,추돌,안전거리 미확보,남,21-30세,승용차,상해없음,남,41-50세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170207,11시,서울,송파구,화,경상,차대차,측면충돌,측면충돌,안전거리 미확보,여,41-50세,승용차,상해없음,여,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170207,15시,강원,원주시,화,경상,차대차,추돌,추돌,안전거리 미확보,남,51-60세,화물차,경상,남,31-40세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,4,0
20170207,23시,경기,용인시,화,중상,차량단독,기타,기타,안전운전 의무 불이행,여,41-50세,승용차,중상,없음,불명,없음,없음,비사업용,승용차,승용차,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170207,23시,전북,정읍시,화,사망,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,남,41-50세,화물차,상해없음,남,61-64세,보행자,사망,사업용,화물차,화물차,보행자,보행자,보행자,고속국도,단일로,기타단일로,맑음,포장,건조,1,0,0,0
20170208,00시,경남,사천시,수,경상,차대차,후진중충돌,후진중충돌,안전운전 의무 불이행,여,41-50세,승용차,상해없음,남,41-50세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170208,04시,충북,옥천군,수,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,61-64세,화물차,상해없음,남,61-64세,화물차,경상,사업용,화물차,화물차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170208,09시,경기,하남시,수,경상,차대차,기타,기타,기타,남,41-50세,건설기계,상해없음,남,31-40세,승용차,경상,사업용,기타/건설기계,기타/건설기계,비사업용,승용차,승용차,고속국도,기타,기타,맑음,포장,건조,0,0,1,0
20170208,12시,경기,하남시,수,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,여,51-60세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170208,17시,강원,강릉시,수,경상,차대차,정면충돌,정면충돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,31-40세,건설기계,경상,사업용,렌터카,렌터카,사업용,기타/건설기계,기타/건설기계,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170209,08시,경기,광명시,목,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,31-40세,화물차,상해없음,남,31-40세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170209,09시,광주,북구,목,경상,차대차,기타,기타,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,0
20170209,11시,경기,고양시,목,중상,차대차,기타,기타,안전운전 의무 불이행,여,51-60세,승용차,중상,남,51-60세,화물차,상해없음,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,기타,기타,맑음,포장,건조,0,1,1,0
20170209,16시,경기,화성시,목,경상,차대차,추돌,추돌,안전운전 의무 불이행,여,51-60세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,0
20170209,17시,경기,시흥시,목,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,21-30세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170209,23시,충북,충주시,목,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,31-40세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,젖음/습기,0,2,0,0
20170210,00시,경기,안양시,금,경상,차대차,기타,기타,안전운전 의무 불이행,여,31-40세,승용차,상해없음,남,41-50세,승용차,경상,비사업용,승용차,승용차,사업용,택시,법인택시,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170210,04시,울산,울주군,금,사망,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,사망,남,61-64세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,1,0,1,0
20170210,07시,인천,남동구,금,경상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,41-50세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170210,08시,경기,안산시,금,경상,차대차,기타,기타,안전거리 미확보,남,41-50세,화물차,상해없음,남,51-60세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170210,08시,경기,여주시,금,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,65세이상,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,교차로,교차로부근,맑음,포장,건조,0,0,1,0
20170210,12시,광주,광산구,금,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,41-50세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,고속국도,단일로,터널안,눈,포장,서리/결빙,0,0,1,0
20170210,14시,경기,남양주시,금,경상,차대차,측면충돌,측면충돌,안전거리 미확보,여,51-60세,승용차,경상,남,21-30세,화물차,경상,비사업용,승용차,승용차,비사업용,화물차,화물차,고속국도,단일로,터널안,맑음,포장,건조,0,0,2,0
20170210,16시,경기,평택시,금,경상,차대차,추돌,추돌,안전거리 미확보,남,21-30세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,흐림,포장,젖음/습기,0,0,1,0
20170210,17시,경남,김해시,금,경상,차대차,기타,기타,안전거리 미확보,남,31-40세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170210,18시,충남,천안시,금,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170210,19시,대구,북구,금,경상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,승용차,상해없음,여,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170210,22시,인천,계양구,금,경상,차대차,추돌,추돌,안전운전 의무 불이행,여,51-60세,승용차,상해없음,남,61-64세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,0
20170210,23시,경남,밀양시,금,중상,차대차,측면충돌,측면충돌,안전거리 미확보,남,61-64세,승용차,상해없음,남,21-30세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170210,23시,서울,양천구,금,경상,차대차,추돌,추돌,안전거리 미확보,남,51-60세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170211,00시,경기,안양시,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,4,0
20170211,01시,전남,함평군,토,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,51-60세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,기타단일로,눈,포장,적설,0,0,1,0
20170211,09시,울산,울주군,토,중상,차대차,정면충돌,정면충돌,안전거리 미확보,남,51-60세,화물차,상해없음,남,41-50세,화물차,중상,사업용,화물차,화물차,비사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,1,0
20170211,10시,충남,천안시,토,중상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,41-50세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,3,0,0
20170211,11시,경기,구리시,토,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,0
20170211,11시,경기,안산시,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,31-40세,승용차,상해없음,남,61-64세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,4,0
20170211,11시,전남,구례군,토,중상,차대차,기타,기타,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,51-60세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,터널안,맑음,포장,건조,0,1,0,0
20170211,12시,충북,음성군,토,중상,차대차,추돌,추돌,안전거리 미확보,남,51-60세,화물차,중상,남,20세이하,승합차,경상,사업용,화물차,화물차,비사업용,버스,버스,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,5,0
20170211,14시,경기,남양주시,토,경상,차대차,기타,기타,안전거리 미확보,남,21-30세,승용차,상해없음,남,31-40세,승용차,상해없음,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170211,16시,경기,성남시,토,경상,차대차,추돌,추돌,안전거리 미확보,남,41-50세,승용차,상해없음,남,51-60세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170211,17시,광주,북구,토,중상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,화물차,상해없음,여,41-50세,승용차,중상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170211,17시,충남,천안시,토,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,부상신고,남,31-40세,승용차,중상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,1
20170211,17시,충북,진천군,토,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170211,19시,경기,김포시,토,경상,차대차,측면충돌,측면충돌,기타,여,31-40세,승용차,상해없음,남,21-30세,승용차,상해없음,비사업용,승용차,승용차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170211,21시,경기,안산시,토,경상,차대차,추돌,추돌,안전거리 미확보,남,41-50세,승용차,상해없음,남,61-64세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,교량위,맑음,포장,건조,0,0,3,0
20170212,01시,충남,천안시,일,중상,차대차,기타,기타,안전운전 의무 불이행,남,21-30세,승용차,상해없음,남,21-30세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,1,0
20170212,10시,경기,성남시,일,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,41-50세,화물차,기타불명,남,21-30세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170212,13시,대구,동구,일,사망,차대차,기타,기타,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,41-50세,승합차,사망,사업용,렌터카,렌터카,비사업용,버스,버스,고속국도,단일로,기타단일로,맑음,포장,건조,1,0,0,0
20170212,14시,서울,강동구,일,경상,차대차,추돌,추돌,안전거리 미확보,남,31-40세,승용차,상해없음,남,21-30세,승용차,경상,비사업용,승용차,승용차,사업용,렌터카,렌터카,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170212,17시,경기,남양주시,일,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,61-64세,화물차,상해없음,남,61-64세,승용차,상해없음,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170212,18시,경기,안성시,일,경상,차대차,추돌,추돌,안전거리 미확보,여,41-50세,승용차,경상,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,3,0
20170212,23시,경기,여주시,일,경상,차대차,기타,기타,안전운전 의무 불이행,남,21-30세,화물차,상해없음,남,31-40세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,기타,기타,맑음,포장,건조,0,0,3,0
20170212,23시,경남,진주시,일,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,화물차,상해없음,남,31-40세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170213,00시,경기,시흥시,월,중상,차대차,측면충돌,측면충돌,기타,남,41-50세,승용차,상해없음,남,31-40세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170213,03시,경기,성남시,월,중상,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,41-50세,보행자,중상,비사업용,승용차,승용차,보행자,보행자,보행자,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170213,06시,경기,안산시,월,경상,차대차,측면충돌,측면충돌,기타,기타불명,불명,승용차,기타불명,남,31-40세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170213,08시,강원,강릉시,월,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,승용차,상해없음,남,51-60세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,2,0,0
20170213,12시,강원,횡성군,월,경상,차대차,측면충돌,측면충돌,기타,남,41-50세,화물차,상해없음,남,20세이하,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170213,12시,서울,강동구,월,중상,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,여,51-60세,승용차,중상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,3,0
20170213,18시,경기,시흥시,월,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,41-50세,승용차,상해없음,남,61-64세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170213,19시,대구,북구,월,경상,차대차,측면충돌,측면충돌,안전운전 의무 불이행,남,41-50세,화물차,상해없음,남,41-50세,승용차,경상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170213,20시,대전,대덕구,월,사망,차대차,기타,기타,안전운전 의무 불이행,남,61-64세,화물차,사망,남,51-60세,화물차,경상,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,흐림,포장,젖음/습기,1,2,1,0
20170213,23시,강원,강릉시,월,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,경상,남,21-30세,승용차,중상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,6,0
20170214,01시,경기,군포시,화,경상,차대차,측면충돌,측면충돌,안전거리 미확보,남,41-50세,승용차,상해없음,여,41-50세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170214,01시,경북,포항시,화,경상,차대차,정면충돌,정면충돌,안전거리 미확보,남,41-50세,승용차,상해없음,남,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,눈,포장,적설,0,0,1,0
20170214,02시,충북,충주시,화,중상,차대차,측면충돌,측면충돌,안전거리 미확보,남,51-60세,화물차,상해없음,남,31-40세,승용차,중상,사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,흐림,포장,건조,0,1,0,0
20170214,07시,전남,무안군,화,사망,차대차,추돌,추돌,안전운전 의무 불이행,남,20세이하,승용차,기타불명,남,31-40세,화물차,경상,비사업용,승용차,승용차,사업용,화물차,화물차,고속국도,단일로,터널안,맑음,포장,건조,1,0,2,0
20170214,08시,인천,서구,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,기타불명,불명,불명,기타불명,남,21-30세,승용차,경상,불명,불명,불명,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,2,0
20170214,10시,강원,원주시,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,여,31-40세,승용차,상해없음,남,65세이상,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,5,0
20170214,10시,경남,창원시,화,경상,차대차,추돌,추돌,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,61-64세,승용차,경상,비사업용,화물차,화물차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,0,1,0
20170214,11시,경기,하남시,화,경상,차대차,기타,기타,안전거리 미확보,남,41-50세,승용차,상해없음,여,41-50세,승용차,상해없음,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,터널안,맑음,포장,건조,0,0,2,0
20170214,14시,경기,안산시,화,중상,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,남,51-60세,건설기계,중상,없음,불명,없음,없음,사업용,기타/건설기계,기타/건설기계,없음,없음,없음,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,0,0
20170214,17시,경기,화성시,화,중상,차대차,추돌,추돌,안전운전 의무 불이행,남,21-30세,승용차,상해없음,여,31-40세,승용차,경상,비사업용,승용차,승용차,비사업용,승용차,승용차,고속국도,단일로,기타단일로,맑음,포장,건조,0,1,2,0
20170214,21시,경북,성주군,화,사망,차대차,기타,기타,안전운전 의무 불이행,남,51-60세,화물차,상해없음,남,41-50세,화물차,상해없음,사업용,화물차,화물차,사업용,화물차,화물차,고속국도,단일로,기타단일로,맑음,포장,건조,1,0,0,0
20170214,21시,충남,천안시,화,경상,차대차,기타,기타,안전운전 의무 불이행,여,41-50세,승용차,상해없음,남,31-40세,승용차,경상,사업용,렌터카,렌터카,비사업용,승용차,승용차,고속국도,기타,기타,맑음,포장,건조,0,0,2,0
